Call Date	Phone Account Address	Partner	Type	Duration in Secs	Partner Location	Country ISO	Data	Mime Type	Transcription	Deleted	Source File
2023-09-19 17:17:31	+15555215554	+201178142004	"Outgoing <i data-feather=""phone-outgoing"" stroke=""green""></i>"	40	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
2023-09-19 17:19:05	+15555215554	+201179993432	"Missed <i data-feather=""phone-missed"" stroke=""red""></i>"	0	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
2023-09-19 17:53:06	+15555215554	+201179993432	"Incoming <i data-feather=""phone-incoming"" stroke=""green""></i>"	161	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
2023-09-19 18:06:00	+15555215554	+201177580642	"Rejected <i data-feather=""x"" stroke=""red""></i>"	0	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
2023-09-20 19:31:33	+15555215554	+201172137258	"Missed <i data-feather=""phone-missed"" stroke=""red""></i>"	0	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
2023-09-20 19:32:08	+15555215554	+201172137258	"Missed <i data-feather=""phone-missed"" stroke=""red""></i>"	0	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
2023-09-20 19:32:48	+15555215554	+201172137258	"Missed <i data-feather=""phone-missed"" stroke=""red""></i>"	0	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
2023-09-20 19:34:11	+15555215554	+201172137258	"Missed <i data-feather=""phone-missed"" stroke=""red""></i>"	0	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
2023-09-20 19:35:04	+15555215554	+201172137258	"Missed <i data-feather=""phone-missed"" stroke=""red""></i>"	0	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
2023-09-20 19:35:54	+15555215554	+201172137258	"Rejected <i data-feather=""x"" stroke=""red""></i>"	0	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
2023-09-20 19:36:50	+15555215554	+201172137258	"Missed <i data-feather=""phone-missed"" stroke=""red""></i>"	0	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
2023-09-20 19:37:39	+15555215554	+201172137258	"Missed <i data-feather=""phone-missed"" stroke=""red""></i>"	0	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
2023-09-20 19:44:24	+15555215554	+201172137258	"Missed <i data-feather=""phone-missed"" stroke=""red""></i>"	0	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
2023-09-20 19:45:00	+15555215554	+201172137258	"Rejected <i data-feather=""x"" stroke=""red""></i>"	0	Egypt	US	 	 	 	0	/home/vagrant/Desktop/temp_extract_dir/ALEAPP_Reports_2025-06-26_Thursday_165755/data/data/com.android.providers.contacts/databases/calllog.db
